Codice;Regione;Zona;Nome;Comune;Latitudine;Longitudine;Esposizione;Lunghezza;Fondo;Affollamento;Accesso;Come si arriva;Parcheggio;Bandiera Blu;Servizi rilevati;Etichette;Descrizione;Google Place ID;File immagine;Fonte immagine;Comune notizie;Aff. ristorante;Aff. albergo;Aff. ombrellone;Aff. attività;Stato;Priorità;Note;Sponsor;Sponsor fino al
algarve-011;algarve;sagres;Tonel;Vila do Bispo;37.00703;-8.9484;;;;;nc;;;sì;6;Bandiera Blu, Surf;Spiaggia sorvegliata nella stagione balneare. C'è uno stabilimento con servizio di ristoro. Ci sono bagni, docce, parcheggio. Onde di valore riconosciuto per il surf. Capacità di carico stimata in 1100 persone.;;spiagge/algarve/algarve-011.jpg;DGT OrtoSat · 30 cm;Vila do Bispo;;;;;;;;;
algarve-012;algarve;sagres;Castelejo;Vila do Bispo;37.10015;-8.94575;;;;;nc;;;sì;6;Bandiera Blu, Surf;Spiaggia sorvegliata nella stagione balneare. C'è uno stabilimento con servizio di ristoro. Ci sono bagni, docce, parcheggio. Onde di valore riconosciuto per il surf. Capacità di carico stimata in 500 persone.;;spiagge/algarve/algarve-012.jpg;DGT OrtoSat · 30 cm;Vila do Bispo;;;;;;;;;
algarve-013;algarve;sagres;Mareta;Vila do Bispo;37.00503;-8.93986;;;;;nc;;;sì;6;Bandiera Blu, Surf;Spiaggia sorvegliata nella stagione balneare. C'è uno stabilimento con servizio di ristoro. Ci sono bagni, docce, parcheggio. Onde di valore riconosciuto per il surf. Capacità di carico stimata in 1100 persone.;;spiagge/algarve/algarve-013.jpg;DGT OrtoSat · 30 cm;Vila do Bispo;;;;;;;;;
algarve-014;algarve;sagres;Cordoama;Vila do Bispo;37.10942;-8.93782;;;;;nc;;;sì;6;Bandiera Blu, Surf;Spiaggia sorvegliata nella stagione balneare. C'è uno stabilimento con servizio di ristoro. Ci sono bagni, docce, parcheggio. Onde di valore riconosciuto per il surf. Capacità di carico stimata in 1400 persone.;;spiagge/algarve/algarve-014.jpg;DGT OrtoSat · 30 cm;Vila do Bispo;;;;;;;;;
algarve-015;algarve;sagres;Martinhal;Vila do Bispo;37.01978;-8.92467;;;;;nc;;;sì;6;Bandiera Blu, Surf;Spiaggia sorvegliata nella stagione balneare. C'è uno stabilimento con servizio di ristoro. Ci sono bagni, docce, parcheggio. Onde di valore riconosciuto per il surf. Capacità di carico stimata in 2100 persone.;;spiagge/algarve/algarve-015.jpg;DGT OrtoSat · 30 cm;Vila do Bispo;;;;;;;;;
algarve-016;algarve;sagres;Barranco;Vila do Bispo;37.04208;-8.894734;;;;;nc;;;no;1;Surf;Spiaggia non sorvegliata. Ci sono parcheggio. Onde di valore riconosciuto per il surf. Capacità di carico stimata in 450 persone.;;spiagge/algarve/algarve-016.jpg;DGT OrtoSat · 30 cm;Vila do Bispo;;;;;;;;;
algarve-017;algarve;sagres;Ingrina;Vila do Bispo;37.04616;-8.87903;;;;;nc;;;sì;6;Bandiera Blu, Surf;Spiaggia sorvegliata nella stagione balneare. C'è uno stabilimento con servizio di ristoro. Ci sono bagni, docce, parcheggio. Onde di valore riconosciuto per il surf. Capacità di carico stimata in 400 persone.;;spiagge/algarve/algarve-017.jpg;DGT OrtoSat · 30 cm;Vila do Bispo;;;;;;;;;
algarve-018;algarve;sagres;Zavial;Vila do Bispo;37.04615;-8.87158;;;;;nc;;;sì;6;Bandiera Blu, Surf;Spiaggia sorvegliata nella stagione balneare. C'è uno stabilimento con servizio di ristoro. Ci sono bagni, docce, parcheggio. Onde di valore riconosciuto per il surf. Capacità di carico stimata in 500 persone.;;spiagge/algarve/algarve-018.jpg;DGT OrtoSat · 30 cm;Vila do Bispo;;;;;;;;;
algarve-019;algarve;sagres;Furnas;Vila do Bispo;37.055;-8.85444;;;;;nc;;;no;1;Surf;Spiaggia non sorvegliata. Ci sono parcheggio. Onde di valore riconosciuto per il surf. Capacità di carico stimata in 320 persone.;;spiagge/algarve/algarve-019.jpg;DGT OrtoSat · 30 cm;Vila do Bispo;;;;;;;;;
algarve-020;algarve;sagres;Salema;Vila do Bispo;37.06476;-8.82482;;;;;nc;;;sì;6;Bandiera Blu, Surf, Accessibile;Spiaggia sorvegliata nella stagione balneare. C'è uno stabilimento con servizio di ristoro. Ci sono bagni, docce, parcheggio. Rientra nel programma Praia Acessível. Onde di valore riconosciuto per il surf. Capacità di carico stimata in 1000 persone.;;spiagge/algarve/algarve-020.jpg;DGT OrtoSat · 30 cm;Vila do Bispo;;;;;;;;;
algarve-021;algarve;sagres;Boca do Rio;Vila do Bispo;37.06639;-8.80833;;;;;nc;;;no;1;Surf;Spiaggia non sorvegliata. Ci sono parcheggio. Onde di valore riconosciuto per il surf. Capacità di carico stimata in 240 persone.;;spiagge/algarve/algarve-021.jpg;DGT OrtoSat · 30 cm;Vila do Bispo;;;;;;;;;
algarve-022;algarve;sagres;Almadena - Cabanas Velhas;Vila do Bispo;37.065217;-8.794877;;;;;nc;;;sì;6;Bandiera Blu;Spiaggia sorvegliata nella stagione balneare. C'è uno stabilimento con servizio di ristoro. Ci sono bagni, docce, parcheggio. Capacità di carico stimata in 300 persone.;;spiagge/algarve/algarve-022.jpg;DGT OrtoSat · 30 cm;Vila do Bispo;;;;;;;;;
algarve-023;algarve;sagres;Burgau;Vila do Bispo;37.0716;-8.77521;;;;;nc;;;sì;6;Bandiera Blu, Surf;Spiaggia sorvegliata nella stagione balneare. C'è uno stabilimento con servizio di ristoro. Ci sono bagni, docce, parcheggio. Onde di valore riconosciuto per il surf. Capacità di carico stimata in 200 persone.;;spiagge/algarve/algarve-023.jpg;DGT OrtoSat · 30 cm;Vila do Bispo;;;;;;;;;
algarve-024;algarve;lagos;Luz (Lagos);Lagos;37.08635;-8.72638;;;;;nc;;;sì;6;Bandiera Blu, Accessibile;Spiaggia sorvegliata nella stagione balneare. C'è uno stabilimento con servizio di ristoro. Ci sono bagni, docce, parcheggio. Rientra nel programma Praia Acessível. Capacità di carico stimata in 1600 persone.;;spiagge/algarve/algarve-024.jpg;DGT OrtoSat · 30 cm;Lagos;;;;;;;;;
algarve-025;algarve;lagos;Porto de Mos;Lagos;37.0852;-8.68868;;;;;nc;;;sì;6;Bandiera Blu, Accessibile;Spiaggia sorvegliata nella stagione balneare. C'è uno stabilimento con servizio di ristoro. Ci sono bagni, docce, parcheggio. Rientra nel programma Praia Acessível. Capacità di carico stimata in 900 persone.;;spiagge/algarve/algarve-025.jpg;DGT OrtoSat · 30 cm;Lagos;;;;;;;;;
algarve-026;algarve;lagos;D. Ana;Lagos;37.0916;-8.669;;;;;nc;;;no;6;Surf;Spiaggia sorvegliata nella stagione balneare. C'è uno stabilimento con servizio di ristoro. Ci sono bagni, docce, parcheggio. Onde di valore riconosciuto per il surf. Capacità di carico stimata in 400 persone.;;spiagge/algarve/algarve-026.jpg;DGT OrtoSat · 30 cm;Lagos;;;;;;;;;
algarve-027;algarve;lagos;Camilo;Lagos;37.08736;-8.66839;;;;;nc;;;no;4;Surf;Spiaggia sorvegliata nella stagione balneare. Ci sono bagni, docce, parcheggio. Onde di valore riconosciuto per il surf. Capacità di carico stimata in 40 persone.;;spiagge/algarve/algarve-027.jpg;DGT OrtoSat · 30 cm;Lagos;;;;;;;;;
algarve-028;algarve;lagos;Batata;Lagos;37.09797;-8.66777;;;;;nc;;;sì;6;Bandiera Blu, Surf, Accessibile;Spiaggia sorvegliata nella stagione balneare. C'è uno stabilimento con servizio di ristoro. Ci sono bagni, docce, parcheggio. Rientra nel programma Praia Acessível. Onde di valore riconosciuto per il surf. Capacità di carico stimata in 340 persone.;;spiagge/algarve/algarve-028.jpg;DGT OrtoSat · 30 cm;Lagos;;;;;;;;;
algarve-029;algarve;lagos;Meia Praia Poente;Lagos;37.10478;-8.665233;;;;;nc;;;sì;6;Bandiera Blu, Surf, Accessibile;Spiaggia sorvegliata nella stagione balneare. C'è uno stabilimento con servizio di ristoro. Ci sono bagni, docce, parcheggio. Rientra nel programma Praia Acessível. Onde di valore riconosciuto per il surf. Capacità di carico stimata in 2300 persone.;;spiagge/algarve/algarve-029.jpg;DGT OrtoSat · 30 cm;Lagos;;;;;;;;;
algarve-030;algarve;lagos;Meia Praia;Lagos;37.11417;-8.651618;;;;;nc;;;sì;6;Bandiera Blu, Surf, Accessibile;Spiaggia sorvegliata nella stagione balneare. C'è uno stabilimento con servizio di ristoro. Ci sono bagni, docce, parcheggio. Rientra nel programma Praia Acessível. Onde di valore riconosciuto per il surf. Capacità di carico stimata in 8700 persone.;;spiagge/algarve/algarve-030.jpg;DGT OrtoSat · 30 cm;Lagos;;;;;;;;;
algarve-031;algarve;portimao;Alvor - Poente;Portimão;37.12218;-8.59724;;;;;nc;;;sì;6;Bandiera Blu, Accessibile;Spiaggia sorvegliata nella stagione balneare. C'è uno stabilimento con servizio di ristoro. Ci sono bagni, docce, parcheggio. Rientra nel programma Praia Acessível. Capacità di carico stimata in 4200 persone.;;spiagge/algarve/algarve-031.jpg;DGT OrtoSat · 30 cm;Portimão;;;;;;;;;
algarve-032;algarve;portimao;Alvor - Nascente;Portimão;37.120741;-8.58657;;;;;nc;;;sì;6;Bandiera Blu, Accessibile;Spiaggia sorvegliata nella stagione balneare. C'è uno stabilimento con servizio di ristoro. Ci sono bagni, docce, parcheggio. Rientra nel programma Praia Acessível. Capacità di carico stimata in 2200 persone.;;spiagge/algarve/algarve-032.jpg;DGT OrtoSat · 30 cm;Portimão;;;;;;;;;
algarve-033;algarve;portimao;Tres Irmaos;Portimão;37.11947;-8.581812;;;;;nc;;;sì;6;Bandiera Blu, Accessibile;Spiaggia sorvegliata nella stagione balneare. C'è uno stabilimento con servizio di ristoro. Ci sono bagni, docce, parcheggio. Rientra nel programma Praia Acessível. Capacità di carico stimata in 1400 persone.;;spiagge/algarve/algarve-033.jpg;DGT OrtoSat · 30 cm;Portimão;;;;;;;;;
algarve-034;algarve;portimao;Barranco das Canas;Portimão;37.11938;-8.56381;;;;;nc;;;no;4;Surf;Spiaggia sorvegliata nella stagione balneare. C'è uno stabilimento con servizio di ristoro. Ci sono parcheggio. Onde di valore riconosciuto per il surf. Capacità di carico stimata in 400 persone.;;spiagge/algarve/algarve-034.jpg;DGT OrtoSat · 30 cm;Portimão;;;;;;;;;
algarve-035;algarve;portimao;Vau;Portimão;37.11941;-8.55814;;;;;nc;;;sì;6;Bandiera Blu, Accessibile;Spiaggia sorvegliata nella stagione balneare. C'è uno stabilimento con servizio di ristoro. Ci sono bagni, docce, parcheggio. Rientra nel programma Praia Acessível. Capacità di carico stimata in 700 persone.;;spiagge/algarve/algarve-035.jpg;DGT OrtoSat · 30 cm;Portimão;;;;;;;;;
algarve-036;algarve;portimao;Careanos/Amado;Portimão;37.11871;-8.55499;;;;;nc;;;no;4;;Spiaggia sorvegliata nella stagione balneare. C'è uno stabilimento con servizio di ristoro. Ci sono parcheggio. Capacità di carico stimata in 350 persone.;;spiagge/algarve/algarve-036.jpg;DGT OrtoSat · 30 cm;Portimão;;;;;;;;;
algarve-037;algarve;portimao;Tres Castelos;Portimão;37.1176;-8.5483;;;;;nc;;;sì;6;Bandiera Blu;Spiaggia sorvegliata nella stagione balneare. C'è uno stabilimento con servizio di ristoro. Ci sono bagni, docce, parcheggio. Capacità di carico stimata in 1800 persone.;;spiagge/algarve/algarve-037.jpg;DGT OrtoSat · 30 cm;Portimão;;;;;;;;;
algarve-038;algarve;portimao;Rocha;Portimão;37.11605;-8.53737;;;;;nc;;;sì;6;Bandiera Blu, Surf, Accessibile;Spiaggia sorvegliata nella stagione balneare. C'è uno stabilimento con servizio di ristoro. Ci sono bagni, docce, parcheggio. Rientra nel programma Praia Acessível. Onde di valore riconosciuto per il surf. Capacità di carico stimata in 8800 persone.;;spiagge/algarve/algarve-038.jpg;DGT OrtoSat · 30 cm;Portimão;;;;;;;;;
algarve-039;algarve;portimao;Marina de Portimao;Portimão;37.11504;-8.52807;;;;;nc;;;sì;6;Bandiera Blu, Accessibile, Laguna;Spiaggia sorvegliata nella stagione balneare. C'è uno stabilimento con servizio di ristoro. Ci sono bagni, docce, parcheggio. Rientra nel programma Praia Acessível. Capacità di carico stimata in 300 persone.;;spiagge/algarve/algarve-039.jpg;DGT OrtoSat · 30 cm;Portimão;;;;;;;;;
algarve-040;algarve;carvoeiro;Ferragudo (Praia Grande);Lagoa;37.11728;-8.52182;;;;;nc;;;sì;6;Bandiera Blu, Laguna;Spiaggia sorvegliata nella stagione balneare. C'è uno stabilimento con servizio di ristoro. Ci sono bagni, docce, parcheggio. Capacità di carico stimata in 2100 persone.;;spiagge/algarve/algarve-040.jpg;DGT OrtoSat · 30 cm;Lagoa;;;;;;;;;
algarve-041;algarve;carvoeiro;Pintadinho;Lagoa;37.10779;-8.51897;;;;;nc;;;no;6;;Spiaggia sorvegliata nella stagione balneare. C'è uno stabilimento con servizio di ristoro. Ci sono bagni, docce, parcheggio. Capacità di carico stimata in 150 persone.;;spiagge/algarve/algarve-041.jpg;DGT OrtoSat · 30 cm;Lagoa;;;;;;;;;
algarve-042;algarve;carvoeiro;Caneiros;Lagoa;37.10486;-8.514;;;;;nc;;;sì;6;Bandiera Blu;Spiaggia sorvegliata nella stagione balneare. C'è uno stabilimento con servizio di ristoro. Ci sono bagni, docce, parcheggio. Capacità di carico stimata in 150 persone.;;spiagge/algarve/algarve-042.jpg;DGT OrtoSat · 30 cm;Lagoa;;;;;;;;;
algarve-043;algarve;carvoeiro;Carvoeiro;Lagoa;37.09617;-8.47227;;;;;nc;;;sì;5;Bandiera Blu, Accessibile;Spiaggia sorvegliata nella stagione balneare. C'è uno stabilimento con servizio di ristoro. Ci sono bagni, docce. Rientra nel programma Praia Acessível. Capacità di carico stimata in 300 persone.;;spiagge/algarve/algarve-043.jpg;DGT OrtoSat · 30 cm;Lagoa;;;;;;;;;
algarve-044;algarve;carvoeiro;Vale Centeanes;Lagoa;37.09122;-8.4556;;;;;nc;;;sì;6;Bandiera Blu;Spiaggia sorvegliata nella stagione balneare. C'è uno stabilimento con servizio di ristoro. Ci sono bagni, docce, parcheggio. Capacità di carico stimata in 80 persone.;;spiagge/algarve/algarve-044.jpg;DGT OrtoSat · 30 cm;Lagoa;;;;;;;;;
algarve-045;algarve;carvoeiro;Benagil;Lagoa;37.08715;-8.42636;;;;;nc;;;no;4;;Spiaggia sorvegliata nella stagione balneare. Ci sono bagni, docce, parcheggio. Capacità di carico stimata in 50 persone.;;spiagge/algarve/algarve-045.jpg;DGT OrtoSat · 30 cm;Lagoa;;;;;;;;;
algarve-046;algarve;carvoeiro;Marinha;Lagoa;37.08957;-8.41286;;;;;nc;;;no;4;;Spiaggia sorvegliata nella stagione balneare. Ci sono bagni, docce, parcheggio. Capacità di carico stimata in 15 persone.;;spiagge/algarve/algarve-046.jpg;DGT OrtoSat · 30 cm;Lagoa;;;;;;;;;
algarve-047;algarve;carvoeiro;Albandeira;Lagoa;37.09094;-8.39998;;;;;nc;;;no;3;;Spiaggia sorvegliata nella stagione balneare. Ci sono bagni, parcheggio. Capacità di carico stimata in 30 persone.;;spiagge/algarve/algarve-047.jpg;DGT OrtoSat · 30 cm;Lagoa;;;;;;;;;
algarve-048;algarve;carvoeiro;Praia Nova da Senhora da Rocha;Lagoa;37.095938;-8.388445;;;;;nc;;;no;2;;Spiaggia sorvegliata nella stagione balneare. Ci sono parcheggio. Capacità di carico stimata in 260 persone.;;spiagge/algarve/algarve-048.jpg;DGT OrtoSat · 30 cm;Lagoa;;;;;;;;;
algarve-049;algarve;carvoeiro;Senhora da Rocha;Lagoa;37.09687;-8.38583;;;;;nc;;;sì;6;Bandiera Blu;Spiaggia sorvegliata nella stagione balneare. C'è uno stabilimento con servizio di ristoro. Ci sono bagni, docce, parcheggio. Capacità di carico stimata in 280 persone.;;spiagge/algarve/algarve-049.jpg;DGT OrtoSat · 30 cm;Lagoa;;;;;;;;;
algarve-050;algarve;carvoeiro;Cova Redonda;Lagoa;37.09858;-8.37992;;;;;nc;;;no;4;;Spiaggia sorvegliata nella stagione balneare. C'è uno stabilimento con servizio di ristoro. Ci sono bagni. Capacità di carico stimata in 350 persone.;;spiagge/algarve/algarve-050.jpg;DGT OrtoSat · 30 cm;Lagoa;;;;;;;;;
algarve-051;algarve;carvoeiro;Tremocos;Lagoa;37.09982;-8.37708;;;;;nc;;;no;1;;Spiaggia sorvegliata nella stagione balneare. Capacità di carico stimata in 60 persone.;;spiagge/algarve/algarve-051.jpg;DGT OrtoSat · 30 cm;Lagoa;;;;;;;;;
algarve-052;algarve;carvoeiro;Vale do Olival;Lagoa;37.10152;-8.36953;;;;;nc;;;sì;6;Bandiera Blu;Spiaggia sorvegliata nella stagione balneare. C'è uno stabilimento con servizio di ristoro. Ci sono bagni, docce, parcheggio. Capacità di carico stimata in 700 persone.;;spiagge/algarve/algarve-052.jpg;DGT OrtoSat · 30 cm;Lagoa;;;;;;;;;
algarve-053;algarve;carvoeiro;Armacao de Pera;Silves;37.10146;-8.36603;;;;;nc;;;sì;6;Bandiera Blu, Accessibile;Spiaggia sorvegliata nella stagione balneare. C'è uno stabilimento con servizio di ristoro. Ci sono bagni, docce, parcheggio. Rientra nel programma Praia Acessível. Capacità di carico stimata in 2500 persone.;;spiagge/algarve/algarve-053.jpg;DGT OrtoSat · 30 cm;Silves;;;;;;;;;
algarve-054;algarve;carvoeiro;Barcos/Armacao de Pera Nascente;Silves;37.09981;-8.35697;;;;;nc;;;sì;6;Bandiera Blu, Accessibile;Spiaggia sorvegliata nella stagione balneare. C'è uno stabilimento con servizio di ristoro. Ci sono bagni, docce, parcheggio. Rientra nel programma Praia Acessível. Capacità di carico stimata in 1400 persone.;;spiagge/algarve/algarve-054.jpg;DGT OrtoSat · 30 cm;Silves;;;;;;;;;
algarve-055;algarve;carvoeiro;Praia Grande - Poente;Silves;37.09685;-8.34783;;;;;nc;;;sì;6;Bandiera Blu, Accessibile;Spiaggia sorvegliata nella stagione balneare. C'è uno stabilimento con servizio di ristoro. Ci sono bagni, docce, parcheggio. Rientra nel programma Praia Acessível. Capacità di carico stimata in 2100 persone.;;spiagge/algarve/algarve-055.jpg;DGT OrtoSat · 30 cm;Silves;;;;;;;;;
algarve-056;algarve;carvoeiro;Praia Grande - Nascente;Silves;37.09255;-8.33814;;;;;nc;;;no;4;;Spiaggia sorvegliata nella stagione balneare. C'è uno stabilimento con servizio di ristoro. Ci sono parcheggio. Capacità di carico stimata in 1400 persone.;;spiagge/algarve/algarve-056.jpg;DGT OrtoSat · 30 cm;Silves;;;;;;;;;
algarve-057;algarve;albufeira;Salgados;Albufeira;37.08845;-8.32939;;;;;nc;;;sì;6;Bandiera Blu, Accessibile;Spiaggia sorvegliata nella stagione balneare. C'è uno stabilimento con servizio di ristoro. Ci sono bagni, docce, parcheggio. Rientra nel programma Praia Acessível. Capacità di carico stimata in 1900 persone.;;spiagge/algarve/algarve-057.jpg;DGT OrtoSat · 30 cm;Albufeira;;;;;;;;;
algarve-058;algarve;albufeira;Gale - Oeste;Albufeira;37.08335;-8.32086;;;;;nc;;;sì;6;Bandiera Blu, Surf, Accessibile;Spiaggia sorvegliata nella stagione balneare. C'è uno stabilimento con servizio di ristoro. Ci sono bagni, docce, parcheggio. Rientra nel programma Praia Acessível. Onde di valore riconosciuto per il surf. Capacità di carico stimata in 2600 persone.;;spiagge/algarve/algarve-058.jpg;DGT OrtoSat · 30 cm;Albufeira;;;;;;;;;
algarve-059;algarve;albufeira;Gale - Leste;Albufeira;37.08014;-8.31599;;;;;nc;;;sì;6;Bandiera Blu, Surf, Accessibile;Spiaggia sorvegliata nella stagione balneare. C'è uno stabilimento con servizio di ristoro. Ci sono bagni, docce, parcheggio. Rientra nel programma Praia Acessível. Onde di valore riconosciuto per il surf. Capacità di carico stimata in 150 persone.;;spiagge/algarve/algarve-059.jpg;DGT OrtoSat · 30 cm;Albufeira;;;;;;;;;
algarve-060;algarve;albufeira;Manuel Lourenco;Albufeira;37.07646;-8.30966;;;;;nc;;;no;6;;Spiaggia sorvegliata nella stagione balneare. C'è uno stabilimento con servizio di ristoro. Ci sono bagni, docce, parcheggio. Capacità di carico stimata in 200 persone.;;spiagge/algarve/algarve-060.jpg;DGT OrtoSat · 30 cm;Albufeira;;;;;;;;;
algarve-061;algarve;albufeira;Evaristo;Albufeira;37.07417;-8.30317;;;;;nc;;;no;6;;Spiaggia sorvegliata nella stagione balneare. C'è uno stabilimento con servizio di ristoro. Ci sono bagni, docce, parcheggio. Capacità di carico stimata in 150 persone.;;spiagge/algarve/algarve-061.jpg;DGT OrtoSat · 30 cm;Albufeira;;;;;;;;;
algarve-062;algarve;albufeira;Castelo (Albufeira);Albufeira;37.07327;-8.29875;;;;;nc;;;sì;6;Bandiera Blu;Spiaggia sorvegliata nella stagione balneare. C'è uno stabilimento con servizio di ristoro. Ci sono bagni, docce, parcheggio. Capacità di carico stimata in 350 persone.;;spiagge/algarve/algarve-062.jpg;DGT OrtoSat · 30 cm;Albufeira;;;;;;;;;
algarve-063;algarve;albufeira;Coelha;Albufeira;37.07363;-8.29353;;;;;nc;;;sì;6;Bandiera Blu;Spiaggia sorvegliata nella stagione balneare. C'è uno stabilimento con servizio di ristoro. Ci sono bagni, docce, parcheggio. Capacità di carico stimata in 400 persone.;;spiagge/algarve/algarve-063.jpg;DGT OrtoSat · 30 cm;Albufeira;;;;;;;;;
algarve-064;algarve;albufeira;Sao Rafael;Albufeira;37.074607;-8.28079;;;;;nc;;;sì;6;Bandiera Blu;Spiaggia sorvegliata nella stagione balneare. C'è uno stabilimento con servizio di ristoro. Ci sono bagni, docce, parcheggio. Capacità di carico stimata in 500 persone.;;spiagge/algarve/algarve-064.jpg;DGT OrtoSat · 30 cm;Albufeira;;;;;;;;;
algarve-065;algarve;albufeira;Arrifes;Albufeira;37.07595;-8.27733;;;;;nc;;;sì;6;Bandiera Blu;Spiaggia sorvegliata nella stagione balneare. C'è uno stabilimento con servizio di ristoro. Ci sono bagni, docce, parcheggio. Capacità di carico stimata in 30 persone.;;spiagge/algarve/algarve-065.jpg;DGT OrtoSat · 30 cm;Albufeira;;;;;;;;;
algarve-066;algarve;albufeira;Peneco;Albufeira;37.08642;-8.25247;;;;;nc;;;sì;5;Bandiera Blu, Surf, Accessibile;Spiaggia sorvegliata nella stagione balneare. C'è uno stabilimento con servizio di ristoro. Ci sono bagni, docce. Rientra nel programma Praia Acessível. Onde di valore riconosciuto per il surf. Capacità di carico stimata in 1400 persone.;;spiagge/algarve/algarve-066.jpg;DGT OrtoSat · 30 cm;Albufeira;;;;;;;;;
algarve-067;algarve;albufeira;Pescadores;Albufeira;37.0864;-8.24907;;;;;nc;;;no;6;Surf, Accessibile;Spiaggia sorvegliata nella stagione balneare. C'è uno stabilimento con servizio di ristoro. Ci sono bagni, docce, parcheggio. Rientra nel programma Praia Acessível. Onde di valore riconosciuto per il surf. Capacità di carico stimata in 1900 persone.;;spiagge/algarve/algarve-067.jpg;DGT OrtoSat · 30 cm;Albufeira;;;;;;;;;
algarve-068;algarve;albufeira;Inatel - Albufeira;Albufeira;37.08548;-8.24303;;;;;nc;;;sì;6;Bandiera Blu, Surf, Accessibile;Spiaggia sorvegliata nella stagione balneare. C'è uno stabilimento con servizio di ristoro. Ci sono bagni, docce, parcheggio. Rientra nel programma Praia Acessível. Onde di valore riconosciuto per il surf. Capacità di carico stimata in 2000 persone.;;spiagge/algarve/algarve-068.jpg;DGT OrtoSat · 30 cm;Albufeira;;;;;;;;;
